Client Name,Total Assistance,Total Investment,Investment Gain,Investment Grade,Condition,Estimated Jobs,Country,SME,Ownership,Status,Constituency,Sector,Business Plan Grade,Average Grade,Jobs Created
Erne Lifting Services Ltd,9460,18920,9460.0,0.5,Developing Skills,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,False,False
Erne Lifting Services Ltd,7096,25577,18481.0,0.722563240411307,Developing Skills,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",False,True,False
Erne Machinery Sales,26000,26000,0.0,0,Venture Capital Fund,0,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,False,False,False
Erne Ventilation,21400,172700,151300.0,0.8760856977417487,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,FERMANAGH AND SOUTH TYRONE,CONSTRUCTION,True,True,True
Erth Engineering,33332,84723,51391.0,0.6065767265087403,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Erth Engineering,24400,244600,220200.0,0.9002452984464432,Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,True,True,True
Erth Engineering,10269,25284,15015.0,0.5938538205980066,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Erth Engineering,48692,165035,116343.0,0.7049595540339928,Investing in R&D,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
Erth Engineering,2300,7195,4895.0,0.6803335649756775,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,SOUTH DOWN,MANUFACTURING,False,True,False
ESO Solutions,780000,9418309,8638309.0,0.9171825855363208,Creating Jobs / Capital Investment / Business Development,120,United States Of America,Non SME,External,New,BELFAST SOUTH,INFORMATION AND COMMUNICATION,True,True,True
Essential Designs (NI) Ltd,49500,440000,390500.0,0.8875,Creating Jobs / Capital Investment / Business Development,9,Northern Ireland,SME,Local,Local,MID ULSTER,MANUFACTURING,True,True,True
Essential Designs (NI) Ltd,1000,2000,1000.0,0.5,Developing Innovation & Technology  ,0,Northern Ireland,SME,Local,Local,MID ULSTER,MANUFACTURING,False,False,False
